Region,Industry,Number_of_firms,ROE,EPS_Growth,PE,PBV,PS,Beta,Cost_of_Equity,CEO_holding,Institutional_holding
US,Advertising,48,22.55%,0.20%,35.59,5.54,1.01,1.22,9.93%,6.02%,33.30%
US,Aerospace/Defense,85,32.01%,19.82%,43.13,5.75,1.54,1.24,10.07%,3.07%,56.84%
US,Air Transport,18,27.62%,23.57%,7.05,2.46,0.69,1.02,8.77%,2.41%,73.51%
US,Apparel,50,11.32%,4.56%,35.79,3.09,1.27,0.93,8.23%,8.79%,54.55%
US,Auto & Truck,14,7.32%,1.42%,7.12,1.63,0.42,0.79,7.41%,9.08%,67.85%
US,Auto Parts,52,20.40%,16.99%,21.63,1.91,0.52,1.17,9.63%,4.10%,59.24%
US,Bank (Money Center),10,8.42%,5.55%,15.34,1.02,2.74,0.71,6.93%,0.34%,50.29%
US,Banks (Regional),633,11.48%,8.36%,26.26,1.17,3.32,0.57,6.07%,2.04%,36.43%
US,Beverage (Alcoholic),31,25.34%,20.38%,19.56,2.48,2.92,1.3,10.42%,3.50%,40.05%
US,Beverage (Soft),37,24.29%,-4.31%,60.1,7.38,3.84,1.18,9.70%,2.51%,21.78%
US,Broadcasting,24,82.32%,70.67%,7.44,3.53,1.09,1.02,8.76%,8.41%,60.02%
US,Brokerage & Investment Banking,38,11.46%,8.78%,81.87,1.14,1.72,1.21,9.87%,4.29%,68.75%
US,Building Materials,42,19.57%,16.00%,89.6,2.94,0.99,1.1,9.21%,2.14%,69.26%
US,Business & Consumer Services,168,20.11%,14.86%,52.88,3.91,1.48,1.22,9.94%,6.40%,49.88%
US,Cable TV,14,36.40%,32.64%,10.38,1.86,1.79,1.13,9.43%,0.43%,58.85%
US,Chemical (Basic),39,29.23%,24.00%,17.43,1.8,0.72,1.55,11.92%,8.85%,41.50%
US,Chemical (Diversified),6,5.02%,0.85%,26.28,1.28,1.27,1.82,13.51%,1.28%,75.73%
US,Chemical (Specialty),89,16.73%,11.15%,40.4,3.22,1.88,1.17,9.65%,1.89%,56.20%
US,Coal & Related Energy,23,21.78%,19.19%,156.82,1.38,0.55,1.17,9.64%,3.31%,32.58%
US,Computer Services,119,16.46%,6.03%,130.26,3.07,0.78,1.27,10.25%,5.26%,47.34%
US,Computers/Peripherals,57,33.65%,24.98%,79.02,5.27,1.76,1.68,12.69%,3.47%,46.61%
US,Construction Supplies,48,22.72%,15.86%,19.07,2.95,1.07,1.45,11.34%,5.94%,70.33%
US,Diversified,23,9.23%,6.96%,26.69,1.71,1.76,1.36,10.78%,3.41%,64.68%
US,Drugs (Biotechnology),481,-1.57%,-1.57%,32.19,6.24,5.87,1.51,11.69%,3.68%,37.36%
US,Drugs (Pharmaceutical),237,12.55%,0.24%,69.2,4.85,4.37,1.47,11.41%,4.23%,29.17%
US,Education,35,11.16%,10.68%,43.96,2.41,1.77,1.28,10.29%,7.63%,47.03%
US,Electrical Equipment,116,18.97%,6.32%,356.28,3.81,1.79,1.32,10.56%,5.15%,35.09%
US,Electronics (Consumer & Office),19,-33.49%,-33.49%,32.57,5.31,1.34,1.19,9.78%,14.57%,26.00%
US,Electronics (General),160,4.16%,1.72%,82.69,2.66,1.49,1.02,8.74%,4.59%,42.57%
US,Engineering/Construction,52,9.33%,7.77%,32.89,1.42,0.43,1.01,8.68%,4.10%,65.11%
US,Entertainment,120,21.71%,17.36%,47.69,3.91,3.02,1.33,10.61%,9.34%,43.96%
US,Environmental & Waste Services,91,17.95%,11.48%,49.7,3.5,1.97,1.19,9.78%,7.10%,39.34%
US,Farming/Agriculture,33,13.31%,8.56%,25.27,2.07,0.58,0.72,6.95%,3.46%,49.99%
US,Financial Svcs. (Non-bank & Insurance),259,0.12%,0.10%,320.15,1.86,2.4,0.7,6.87%,4.15%,38.64%
US,Food Processing,83,19.49%,12.69%,25.91,1.97,1.39,0.81,7.51%,9.75%,48.37%
US,Food Wholesalers,18,27.62%,19.23%,22.45,4.29,0.37,1.62,12.36%,6.80%,58.65%
US,Furn/Home Furnishings,30,6.33%,2.84%,17.41,1.98,0.68,0.88,7.95%,10.33%,52.79%
US,Green & Renewable Energy,21,5.63%,-2.78%,14.02,1.09,3.73,1.62,12.34%,11.38%,40.17%
US,Healthcare Products,248,6.15%,3.03%,91.47,4.36,4.49,1.12,9.37%,4.46%,42.52%
US,Healthcare Support Services,111,16.73%,12.58%,234.53,3.15,0.52,1.15,9.56%,7.28%,49.41%
US,Heathcare Information and Technology,119,10.95%,10.12%,84.08,4.14,4.03,1.29,10.36%,6.87%,51.04%
US,Homebuilding,31,17.04%,15.62%,15.18,1.23,0.66,0.98,8.53%,6.47%,74.15%
US,Hospitals/Healthcare Facilities,34,13.84%,5.68%,23.68,6.1,0.61,1.12,9.34%,5.35%,60.39%
US,Hotel/Gaming,70,31.85%,22.00%,33.65,2.87,2.08,1.01,8.68%,7.67%,59.66%
US,Household Products,141,13.42%,-0.31%,37.01,5.59,2.56,1.13,9.42%,12.84%,35.01%
US,Information Services,71,30.29%,23.49%,41.23,7.45,5.75,1.12,9.36%,6.11%,61.64%
US,Insurance (General),20,-1.49%,-1.49%,18.83,1.16,1.16,0.87,7.88%,2.38%,69.66%
US,Insurance (Life),23,11.93%,9.46%,9.69,0.82,0.74,1.11,9.29%,0.69%,71.30%
US,Insurance (Prop/Cas.),50,14.03%,10.58%,27.34,1.56,1.12,0.74,7.09%,2.32%,60.01%
US,Investments & Asset Management,172,16.18%,10.74%,79.02,1.36,2.68,1.1,9.26%,9.77%,43.58%
US,Machinery,127,17.24%,11.88%,74.54,3.31,1.63,1.17,9.66%,2.43%,67.42%
US,Metals & Mining,94,16.62%,11.40%,81,1.73,1.1,1.32,10.56%,9.93%,17.18%
US,Office Equipment & Services,24,17.35%,8.93%,39.48,2.37,0.58,1.81,13.49%,3.43%,54.91%
US,Oil/Gas (Integrated),5,11.82%,4.85%,24.2,1.46,1.21,1.16,9.58%,0.01%,68.45%
US,Oil/Gas (Production and Exploration),301,8.98%,6.89%,32.47,1.3,1.83,1.45,11.34%,6.32%,38.55%
US,Oil/Gas Distribution,20,6.75%,-3.91%,61.25,1.36,1.74,1.07,9.06%,6.45%,52.81%
US,Oilfield Svcs/Equip.,134,10.19%,5.44%,16.61,1.17,0.47,1.33,10.59%,3.59%,60.09%
US,Packaging & Container,27,27.34%,19.64%,18.82,2.62,0.83,1.07,9.09%,8.52%,72.77%
US,Paper/Forest Products,20,8.45%,4.92%,34.16,1.21,0.45,1.4,11.00%,0.75%,64.23%
US,Power,51,9.27%,3.08%,23,1.68,1.99,0.54,5.92%,0.78%,66.73%
US,Precious Metals,91,-2.95%,-2.95%,13.5,1.4,2.88,1.19,9.78%,6.27%,22.32%
US,Publishing & Newspapers,33,-2.30%,-2.28%,93.78,1.25,0.58,1.26,10.16%,1.76%,63.61%
US,R.E.I.T.,238,9.49%,-2.89%,46.15,1.88,5.66,0.68,6.72%,1.55%,75.53%
US,Real Estate (Development),18,5.36%,5.36%,26.5,1.3,4.68,1.19,9.80%,12.35%,42.23%
US,Real Estate (General/Diversified),11,18.28%,17.22%,7.79,0.82,3.9,1.36,10.81%,9.05%,51.86%
US,Real Estate (Operations & Services),59,15.87%,13.36%,57.46,2.05,0.92,1.35,10.70%,11.18%,37.85%
US,Recreation,72,9.03%,0.67%,28.89,3.86,1.47,0.98,8.51%,8.67%,53.53%
US,Reinsurance,2,16.74%,15.91%,53.74,1.04,0.9,0.97,8.46%,0.24%,90.52%
US,Restaurant/Dining,78,0.13%,0.07%,29.24,NA,2.66,0.8,7.44%,5.30%,63.59%
US,Retail (Automotive),24,41.49%,39.96%,14.08,5.12,0.56,1.15,9.56%,1.19%,73.76%
US,Retail (Building Supply),17,95.94%,56.95%,107.02,19.28,1.35,1.12,9.34%,2.12%,75.03%
US,Retail (Distributors),88,22.71%,17.76%,223.13,2.4,0.71,1.44,11.26%,7.99%,57.18%
US,Retail (General),19,14.10%,5.76%,20.46,3.73,0.54,0.91,8.12%,4.01%,76.94%
US,Retail (Grocery and Food),12,41.64%,36.54%,14.6,2.69,0.21,0.45,5.37%,14.46%,50.67%
US,Retail (Online),79,29.66%,29.47%,51.8,6.11,3.07,1.42,11.12%,9.67%,48.74%
US,Retail (Special Lines),91,24.37%,16.04%,25.19,3.88,0.65,1.07,9.06%,3.56%,64.60%
US,Rubber& Tires,4,8.23%,5.68%,15.36,1.04,0.35,0.42,5.17%,4.62%,53.06%
US,Semiconductor,72,23.01%,15.11%,71.23,3.72,3.4,1.34,10.64%,2.18%,61.20%
US,Semiconductor Equip,41,26.22%,20.67%,81.96,3.52,1.88,1.39,10.96%,2.14%,62.87%
US,Shipbuilding & Marine,9,10.30%,9.61%,14.63,1.17,1.12,1.08,9.10%,17.53%,35.82%
US,Shoe,10,16.54%,8.42%,1304.34,9.3,2.66,0.75,7.18%,2.38%,69.96%
US,Software (Entertainment),92,15.31%,15.31%,55.21,4.3,5.92,1.26,10.18%,8.32%,36.27%
US,Software (Internet),44,5.52%,5.52%,55.08,14.04,5.72,1.46,11.37%,7.29%,49.32%
US,Software (System & Application),355,13.47%,5.58%,276.6,8.03,6.42,1.23,10.00%,6.93%,45.24%
US,Steel,37,27.10%,22.89%,18.76,1.39,0.47,1.62,12.33%,2.81%,61.37%
US,Telecom (Wireless),21,27.69%,27.48%,88.79,1.44,1.02,1.26,10.21%,1.13%,47.82%
US,Telecom. Equipment,98,2.24%,-4.54%,121,4.07,3.04,1.09,9.18%,4.61%,50.87%
US,Telecom. Services,67,36.99%,22.60%,42.83,1.75,1.38,1.22,9.94%,4.60%,34.01%
US,Tobacco,17,-2.52%,-0.77%,15.49,28.74,3.58,1.29,10.37%,3.01%,40.20%
US,Transportation,19,45.36%,32.06%,22.97,4.66,0.84,1.14,9.49%,6.10%,81.54%
US,Transportation (Railroads),10,51.74%,43.94%,60.88,3.56,4.12,2.47,17.39%,0.13%,60.35%
US,Trucking,28,29.77%,27.66%,11.74,2.01,0.66,1.22,9.94%,3.77%,64.73%
US,Utility (General),18,12.17%,4.42%,28.43,1.96,2.16,0.27,4.27%,0.11%,77.24%
US,Utility (Water),19,9.40%,9.50%,76.69,3.05,5.17,0.42,5.21%,0.56%,43.25%
EUR,Advertising,87,15.08%,8.99%,27.83,1.41,1.2,0.86,8.78%,10.47%,32.24%
EUR,Aerospace/Defense,46,21.83%,14.41%,30.91,3.81,1.15,1.28,11.76%,4.27%,39.28%
EUR,Air Transport,38,20.05%,13.36%,14.86,1.98,0.74,0.93,9.30%,6.12%,29.92%
EUR,Apparel,122,19.93%,11.80%,18.99,3.43,2.35,0.9,9.11%,10.13%,19.42%
EUR,Auto & Truck,25,15.33%,10.19%,26.97,0.88,0.34,1.26,11.64%,13.82%,14.68%
EUR,Auto Parts,55,14.05%,8.72%,11.39,1.58,0.44,1.45,13.00%,5.03%,34.32%
EUR,Bank (Money Center),126,6.68%,3.18%,12.54,0.65,2.07,1.16,10.93%,0.12%,26.49%
EUR,Banks (Regional),69,6.76%,4.60%,14.23,0.6,3.06,0.57,6.75%,1.49%,18.66%
EUR,Beverage (Alcoholic),53,12.34%,3.54%,52.73,2.31,2.4,0.65,7.27%,8.89%,23.66%
EUR,Beverage (Soft),16,12.36%,5.42%,26.73,3.1,1.67,0.65,7.29%,4.63%,40.33%
EUR,Broadcasting,25,22.91%,4.81%,54.52,2.26,1.1,0.96,9.53%,11.14%,27.94%
EUR,Brokerage & Investment Banking,68,10.94%,2.31%,46.07,1.73,0.85,1.05,10.12%,15.21%,26.30%
EUR,Building Materials,83,12.30%,7.10%,16.52,1.82,0.97,1.03,10.03%,6.39%,36.25%
EUR,Business & Consumer Services,206,20.85%,9.41%,143.09,3.78,1.01,0.99,9.70%,10.47%,41.15%
EUR,Cable TV,8,15.73%,12.66%,21.08,6.85,0.83,1.19,11.13%,0.14%,32.17%
EUR,Chemical (Basic),55,39.93%,28.10%,21.62,2.14,0.87,0.98,9.63%,11.00%,28.70%
EUR,Chemical (Diversified),7,15.30%,7.83%,20.03,1.31,0.76,1.51,13.40%,0.13%,31.72%
EUR,Chemical (Specialty),98,14.79%,7.87%,27.08,3.03,1.79,1.18,11.09%,3.28%,34.02%
EUR,Coal & Related Energy,15,12.58%,9.32%,74.89,0.75,0.92,0.91,9.15%,3.46%,41.91%
EUR,Computer Services,217,20.24%,11.88%,36.2,3.47,1.05,1.09,10.40%,12.81%,30.27%
EUR,Computers/Peripherals,39,44.19%,22.96%,26.4,3.44,1.06,1.14,10.76%,8.09%,26.17%
EUR,Construction Supplies,102,10.22%,5.69%,28.56,1.35,0.81,1.05,10.16%,4.41%,25.04%
EUR,Diversified,64,9.58%,6.63%,13.88,0.87,0.66,1.24,11.50%,5.50%,20.17%
EUR,Drugs (Biotechnology),194,6.11%,4.68%,105.35,2.33,4.89,1.43,12.82%,3.27%,23.17%
EUR,Drugs (Pharmaceutical),112,14.92%,4.93%,29.61,2.72,3.08,1.23,11.45%,4.23%,32.50%
EUR,Education,10,9.18%,7.86%,25.55,1.57,0.61,1.75,15.10%,3.09%,38.11%
EUR,Electrical Equipment,127,11.90%,5.82%,91.39,1.87,1.11,1.36,12.38%,7.43%,29.23%
EUR,Electronics (Consumer & Office),17,12.52%,5.22%,23.63,2.67,1.95,1.4,12.65%,7.23%,27.79%
EUR,Electronics (General),154,18.24%,12.76%,42.1,2.49,1.81,1.26,11.65%,6.17%,29.88%
EUR,Engineering/Construction,147,9.52%,2.30%,140.8,1.72,0.42,1.13,10.75%,12.01%,28.48%
EUR,Entertainment,132,0.93%,-2.09%,88.72,2.81,2.21,1.14,10.78%,15.75%,22.89%
EUR,Environmental & Waste Services,48,10.04%,2.73%,18.87,3.09,0.81,0.96,9.48%,13.39%,34.85%
EUR,Farming/Agriculture,43,11.51%,7.26%,50.04,1.74,0.56,0.74,7.94%,4.08%,21.21%
EUR,Financial Svcs. (Non-bank & Insurance),123,6.31%,4.26%,19.21,0.55,1.49,0.96,9.54%,8.85%,37.83%
EUR,Food Processing,141,12.46%,5.11%,19.42,2.86,1.63,0.72,7.82%,7.58%,23.72%
EUR,Food Wholesalers,15,8.10%,0.56%,14.09,0.38,0.09,0.47,6.02%,16.11%,21.15%
EUR,Furn/Home Furnishings,45,15.26%,7.59%,27.2,2.12,0.69,0.9,9.07%,9.70%,28.45%
EUR,Green & Renewable Energy,51,3.94%,2.01%,67.09,1.17,2.83,0.88,8.95%,7.07%,17.84%
EUR,Healthcare Products,170,8.67%,4.24%,52.05,3.22,3.17,1.26,11.63%,4.50%,29.33%
EUR,Healthcare Support Services,42,14.98%,11.11%,76.72,1.38,0.66,1.01,9.88%,8.34%,29.35%
EUR,Heathcare Information and Technology,82,11.57%,8.48%,80.95,3.58,2.96,1.05,10.17%,7.14%,32.49%
EUR,Homebuilding,46,19.53%,14.18%,14.36,1.35,1.1,0.92,9.22%,5.38%,44.71%
EUR,Hospitals/Healthcare Facilities,33,8.47%,6.32%,67.09,2.02,1.26,0.79,8.33%,4.21%,28.19%
EUR,Hotel/Gaming,113,12.90%,6.56%,31.67,1.52,1.2,0.88,8.96%,6.48%,29.86%
EUR,Household Products,73,30.16%,17.12%,29.16,4.67,2.52,0.83,8.58%,7.69%,28.68%
EUR,Information Services,28,25.48%,21.67%,69.41,8.46,5.03,1.04,10.10%,1.44%,39.47%
